open,high,low,close,volume,marketCap,timestamp
2860.1031820922,2954.5566753216,2838.2504777352,2897.9766804407,15206116098.46,347920723063.29,"2022-03-21T00:00:00.000Z"
2897.7740978843,3040.3827645604,2892.5445014176,2973.1311309304,16830539230.05,356983458903.94,"2022-03-22T00:00:00.000Z"
2973.1450502842,3036.7521606726,2933.3067343373,3031.0670246895,16008767657.51,363981070562.25,"2022-03-23T00:00:00.000Z"
3031.0608259817,3118.3877735902,3012.3266268645,3108.0619096249,18070503166.46,373268685628.38,"2022-03-24T00:00:00.000Z"
3108.4490361844,3183.9579671076,3087.4908302393,3106.671279528,17030503831.09,373143966536.83,"2022-03-25T00:00:00.000Z"
3106.4053950188,3146.8254088437,3091.8253505201,3143.1790657449,8876420740.24,377571096914.82,"2022-03-26T00:00:00.000Z"
3143.7956034034,3291.5775859525,3129.9977580631,3291.5775859525,13431866833.79,395441924035.78,"2022-03-27T00:00:00.000Z"
3292.3223941196,3424.0192648472,3279.027176416,3336.634572264,20620450770.12,400900140647.22,"2022-03-28T00:00:00.000Z"
3335.0211544607,3470.1863042731,3335.0211544607,3401.9877380385,19533323636.12,408798491703.04,"2022-03-29T00:00:00.000Z"
3401.5262172197,3435.2861692098,3349.2370527635,3385.1578971365,15302506130.9,406821918324.81,"2022-03-30T00:00:00.000Z"
3385.2893589839,3435.128419505,3272.9346632837,3281.6428781566,17685495685.68,394425928251.04,"2022-03-31T00:00:00.000Z"
3282.57616759,3467.5559079983,3223.8913040261,3449.5521302967,20982988936.67,414654032151.08,"2022-04-01T00:00:00.000Z"
3449.7886623859,3521.2846781642,3442.0001602179,3445.0593709592,23571556214.77,414159902496.97,"2022-04-02T00:00:00.000Z"
3444.810662931,3573.9602434336,3421.2597790567,3522.8334004961,15333808649.33,423557081705.01,"2022-04-03T00:00:00.000Z"
3522.3649308716,3535.1480771606,3422.0010296329,3521.2411366589,18209969743.13,423413008036.05,"2022-04-04T00:00:00.000Z"
3521.2397830665,3546.7068571416,3410.5475124889,3411.792508885,16681503199.28,410298423739.01,"2022-04-05T00:00:00.000Z"
3411.6720974761,3411.6720974761,3171.204968274,3171.6920096725,25632563638.64,381466903809.28,"2022-04-06T00:00:00.000Z"
3172.1973614504,3263.4745576398,3155.5809924614,3233.2747071583,16745496604.92,388917301310.15,"2022-04-07T00:00:00.000Z"
3233.2724023532,3301.607533047,3179.1424282459,3192.0740436834,17557050668.9,384004266017.44,"2022-04-08T00:00:00.000Z"
3191.9760162094,3261.9631032775,3187.4692094337,3261.9161708653,9908112155.83,392450014876.45,"2022-04-09T00:00:00.000Z"
3261.2914166235,3303.0030954395,3211.8668836881,3211.8668836881,10427054789.95,386471827350.58,"2022-04-10T00:00:00.000Z"
3209.5769925259,3214.4618628244,2962.7564801251,2981.0523144288,21891804830.5,358739023178.63,"2022-04-11T00:00:00.000Z"
2981.4206935275,3077.4526560985,2957.8724121469,3030.3764559966,20235707410.31,364715602736.26,"2022-04-12T00:00:00.000Z"
3029.8779161678,3123.5753832974,3006.4816656072,3118.344281717,16088473629.48,375344730158.78,"2022-04-13T00:00:00.000Z"
3117.8217454628,3139.9286567373,2988.4353080961,3019.9095098156,15821419930.94,363537133350.8,"2022-04-14T00:00:00.000Z"
3020.1345307684,3044.287441334,3001.1232617006,3040.9165644004,11256651535.64,366106878800.64,"2022-04-15T00:00:00.000Z"
3041.1231989128,3074.8869098833,3016.4210962003,3062.3103812058,8766710364.65,368723505201.94,"2022-04-16T00:00:00.000Z"
3061.8819276333,3075.7759296598,2989.0439926137,2993.4032822558,10463091280.79,360466921073.66,"2022-04-17T00:00:00.000Z"
2993.4838088845,3062.5209063648,2893.9127956431,3057.6067162363,18629381299.06,368239502263.89,"2022-04-18T00:00:00.000Z"
3057.5702607438,3125.0843457016,3035.5350916258,3104.1065209192,14156035095.91,373881545796.19,"2022-04-19T00:00:00.000Z"
3103.9349763576,3157.8857125676,3045.2883189552,3077.7458333831,15547362265.24,370747899752.64,"2022-04-20T00:00:00.000Z"
3077.8293698809,3173.4514044414,2962.4102981154,2987.4806911944,20783591092.8,359913941107.04,"2022-04-21T00:00:00.000Z"
2986.9387268138,3024.8545404547,2942.3587455434,2964.8356126232,16782795476.79,357225521174.06,"2022-04-22T00:00:00.000Z"
2964.8023104144,2975.322700786,2926.7402724469,2938.1139934399,9116955609.47,354042065765.69,"2022-04-23T00:00:00.000Z"
2937.3471671524,2961.8821398284,2922.1286359736,2922.7326431959,9696829579.36,352230955093.53,"2022-04-24T00:00:00.000Z"
